Entity	Code	Year	p	s	pop
Maldives	MDV	2013			328551
Mali	MLI	2013			16808242
Malta	MLT	2013	20971.33355	0	420557
Marshall Islands	MHL	2013			56687
Martinique	MTQ	2013			409366
Mauritania	MRT	2013			3704414
Mauritius	MUS	2013	12731.66186		1320785
Mayotte	MYT	2013			223907
Mexico	MEX	2013	18232.15799		117478371
Micronesia (country)	FSM	2013		16
Middle East & North Africa		2013	24966.95467	2.6
Middle East & North Africa (IDA & IBRD)		2013	15842.55432
Middle East & North Africa (excluding high income)		2013	15842.55432
Middle income		2013	16006.15903
Moldova	MDA	2013	10032.71441	0.1	3495657
Monaco	MCO	2013			35456
Mongolia	MNG	2013	21318.70557		2887863
Montenegro	MNE	2013	18380.2665	1	633167
Montserrat	MSR	2013			6100
Morocco	MAR	2013	6444.704075	1	32925553
Mozambique	MOZ	2013	4809.4006		25028313
Myanmar	MMR	2013	3755.167296		49119646
Namibia	NAM	2013	8719.522866		2404477
Nauru	NRU	2013			10437
Nepal	NPL	2013	4667.94936		31535507
Netherlands	NLD	2013	53500.12801	0	16761552
New Caledonia	NCL	2013			262605
New Zealand	NZL	2013	50710.35804		4508166
Nicaragua	NIC	2013	6883.559052		6041763
Niger	NER	2013	1809.969153		17239826
Nigeria	NGA	2013	9069.67344		170901148
Niue	NIU	2013			1346
North America		2013	81229.5458
North Korea	PRK	2013	5049.409574		24654358
Northern Mariana Islands	MNP	2013			63597
Norway	NOR	2013	74617.97201	0	4991997
OECD members		2013	48814.74895
Oman	OMN	2013	76565.68146		2957333
Pakistan	PAK	2013	5680.405585	6.1	183188847
Palau	PLW	2013			20922
Panama	PAN	2013	12034.29231	2.8	3678264
Papua New Guinea	PNG	2013			7327281
Paraguay	PRY	2013	8886.821276	1.8	6798236
Peru	PER	2013	7750.613198	4.3	30075185
Philippines	PHL	2013	5289.982922		98112780
Poland	POL	2013	29838.7474		38331803
Portugal	PRT	2013	23932.92727	0.7	10704534
Post-demographic dividend		2013	53878.63785
Pre-demographic dividend		2013	6798.444473
Puerto Rico	PRI	2013			3742334
Qatar	QAT	2013	208487.7312		1976840
Reunion	REU	2013			874944
Romania	ROU	2013	18561.35661	7.2	21338815
Russia	RUS	2013	59064.45892	0	142557892
Rwanda	RWA	2013		56	11608439
Saint Helena	SHN	2013			3970
Saint Kitts and Nevis	KNA	2013			54338
Saint Lucia	LCA	2013			179515
Saint Vincent and the Grenadines	VCT	2013			109354
Samoa	WSM	2013			185727
San Marino	SMR	2013			32156
Sao Tome and Principe	STP	2013			175383
Saudi Arabia	SAU	2013	74640.37643		29319402
Senegal	SEN	2013	3057.130726		13454191
Serbia	SRB	2013	24201.7107		9835010
Seychelles	SYC	2013		1.1	87417
Sierra Leone	SLE	2013			6255163
Singapore	SGP	2013	56759.1226		5300914
Slovakia	SVK	2013	36412.67606	0.2	5488775
Slovenia	SVN	2013	38739.41458	0	2044766
Solomon Islands	SLB	2013		25.1	580791
Somalia	SOM	2013			10052842
South Africa	ZAF	2013	30225.90166		50981076
South Asia		2013	6419.799062	16.2
South Asia (IDA & IBRD)		2013	6419.799062
South Korea	KOR	2013	60844.3856		48774767
South Sudan	SSD	2013	704.5637706		10881979
Spain	ESP	2013	29215.79184	1.2	47042602
Sri Lanka	LKA	2013	5668.211151		21393876
Sub-Saharan Africa		2013	7927.176621	42.5
Sub-Saharan Africa (IDA & IBRD)		2013	7927.176621
Sub-Saharan Africa (excluding high income)		2013	7927.176621
Sudan	SDN	2013	4417.38439		35940905
Suriname	SUR	2013	14831.96918		538882
Swaziland	SWZ	2013			1237166
Sweden	SWE	2013	59854.18565	0.7	9545823
Switzerland	CHE	2013	38426.86254	0	7761820
Syria	SYR	2013			21468962
Syrian Arab Republic		2013	6831.88564
Taiwan	TWN	2013			23151000
Tajikistan	TJK	2013	3699.252642		7183529
Tanzania	TZA	2013	5516.708452		49153002
Thailand	THA	2013	23162.72183	0	70243267
Togo	TGO	2013	5295.465586		6412560
Tokelau	TKL	2013			1141
Tonga	TON	2013			105265
Trinidad and Tobago	TTO	2013	169070.9413		1355342
Tunisia	TUN	2013	10994.50137		10813680
Turkey	TUR	2013	17944.72066	0.3	75359032
Turkmenistan	TKM	2013	56792.02811		5234640
Turks and Caicos Islands	TCA	2013			40159
Tuvalu	TUV	2013			9888
Uganda	UGA	2013			36759274
Ukraine	UKR	2013	29692.74506	0	44696741
United Arab Emirates	ARE	2013	90326.31831		8207940
United Kingdom	GBR	2013	34746.98331	0.2	63177406
United States	USA	2013	80267.78069	1	318497630
Upper middle income		2013	25515.69652	2.4
Uruguay	URY	2013	15705.55485	0.2	3403117
Uzbekistan	UZB	2013	16508.52643		28398155
Vanuatu	VUT	2013			257812
Venezuela	VEN	2013	26377.49087		30340637
Vietnam	VNM	2013	7617.218233		90656550
Western Sahara	ESH	2013			585270
World	OWID_WRL	2013	22021.24487	11.2
Yemen	YEM	2013	3758.503031
Zambia	ZMB	2013	7388.882597		14314515
Zimbabwe	ZWE	2013	8718.628485		13327925
